slide,start,end,duration,timestamp,voiceover
1,0.0,1.933,1.933,00:00.00,"It's 15,000 years ago."
2,1.933,4.467,2.534,00:01.93,You're a hunter-gatherer somewhere in Eurasia.
3,4.467,9.6,5.133,00:04.47,You're a hunter-gatherer somewhere in Eurasia. Your life is basically wake up try not to die find food try not to die again sleep.
4,9.6,13.833,4.233,00:09.60,Your life is basically wake up try not to die find food try not to die again sleep. Every single day.
5,13.833,17.333,3.5,00:13.83,Every single day. And one night around your fire in the middle of nowhere you hear something rustling in the darkness just beyond the light.
6,17.333,21.0,3.667,00:17.33,And one night around your fire in the middle of nowhere you hear something rustling in the darkness just beyond the light.
7,21.0,22.667,1.667,00:21.00,And one night around your fire in the middle of nowhere you hear something rustling in the darkness just beyond the light. You freeze.
8,22.667,27.1,4.433,00:22.67,And then a pair of yellow eyes blinks at you from the shadows.
9,27.1,32.067,4.967,00:27.10,And then a pair of yellow eyes blinks at you from the shadows. Now most animals at this point would either run away or eat your face but this one doesn't.
10,32.067,36.7,4.633,00:32.07,Now most animals at this point would either run away or eat your face but this one doesn't. It just sits there watching you and something about it makes you not throw your spear at it.
11,36.7,39.333,2.633,00:36.70,It just sits there watching you and something about it makes you not throw your spear at it.
12,39.333,42.8,3.467,00:39.33,It just sits there watching you and something about it makes you not throw your spear at it. That moment is probably where the entire story of dogs begins.
13,42.8,48.6,5.8,00:42.80,That moment is probably where the entire story of dogs begins. And here's the thing the story of how wolves became dogs is one of the most bizarre fascinating and honestly kind of hilarious chapters in all of natural history.
14,48.6,52.667,4.067,00:48.60,And here's the thing the story of how wolves became dogs is one of the most bizarre fascinating and honestly kind of hilarious chapters in all of natural history.
15,52.667,55.667,3.0,00:52.67,And here's the thing the story of how wolves became dogs is one of the most bizarre fascinating and honestly kind of hilarious chapters in all of natural history. Because it didn't happen the way most people think.
16,55.667,57.667,2.0,00:55.67,Humans didn't exactly plan it.
17,57.667,62.467,4.8,00:57.67,"There was no ancient guy who said You know what? I'm going to domesticate an apex predator and turn it into a creature that sleeps on my pillow and cries when I leave the room for 30 seconds."""
18,62.467,67.4,4.933,01:02.47,"I'm going to domesticate an apex predator and turn it into a creature that sleeps on my pillow and cries when I leave the room for 30 seconds."""
19,67.4,70.9,3.5,01:07.40,"I'm going to domesticate an apex predator and turn it into a creature that sleeps on my pillow and cries when I leave the room for 30 seconds."" No. It was way more chaotic than that."
20,70.9,77.9,7.0,01:10.90,It was way more chaotic than that. First let's establish something important. Dogs are not a separate species that existed naturally in the wild.
