page,category,slide,timestamp,reference_role,file,voiceover
1,Core human character system,7,00:21.00,worried seated pose,p01-01-slide-007-core-human-character-system.jpg,And one night around your fire in the middle of nowhere you hear something rustling in the darkness just beyond the light. You freeze.
1,Core human character system,16,00:55.67,questioning full-body pose,p01-02-slide-016-core-human-character-system.jpg,Humans didn't exactly plan it.
1,Core human character system,28,02:01.73,angry scientist gesture,p01-03-slide-028-core-human-character-system.jpg,And the reason it's so wide is because the archaeological record is messy.
1,Core human character system,151,12:19.43,group reaction faces,p01-04-slide-151-core-human-character-system.jpg,It makes us feel responsible for their well-being. The dog unknowingly evolved a biological hack for manipulating human emotions and it is spectacularly effective.
2,Animals and character continuity,14,00:48.60,wolf-human-dog lineup,p02-01-slide-014-animals-and-character-continuity.jpg,And here's the thing the story of how wolves became dogs is one of the most bizarre fascinating and honestly kind of hilarious chapters in all of natural history.
2,Animals and character continuity,51,03:22.07,threatening wolf,p02-02-slide-051-animals-and-character-continuity.jpg,It will still have wolf instincts. It will still be dangerous.
2,Animals and character continuity,106,07:10.80,friendly fox interaction,p02-03-slide-106-animals-and-character-continuity.jpg,Their reproductive cycles shifted. They started barking differently. They started seeking human attention and making eye contact. They started acting like dogs.
2,Animals and character continuity,174,14:30.93,dog-breed variety,p02-04-slide-174-animals-and-character-continuity.jpg,The natural pressure that had started the process select for tameness get dogs was replaced by something much more directed human intentional breeding. And humans turned out to be absolutely wild about variety.
3,Color and environment allocation,1,00:00.00,day landscape,p03-01-slide-001-color-and-environment-allocation.jpg,"It's 15,000 years ago."
3,Color and environment allocation,6,00:17.33,night fire lighting,p03-02-slide-006-color-and-environment-allocation.jpg,And one night around your fire in the middle of nowhere you hear something rustling in the darkness just beyond the light.
3,Color and environment allocation,37,02:33.13,crowded camp scene,p03-03-slide-037-color-and-environment-allocation.jpg,This was something that happened deep in the Stone Age probably multiple times in multiple places before humans had even figured out how bread worked.
3,Color and environment allocation,233,20:14.67,sunset emotional close,p03-04-slide-233-color-and-environment-allocation.jpg,It was worth it for them. And honestly it was worth it for us too.
4,Panel and sequence grammar,3,00:04.47,2x2 daily sequence,p04-01-slide-003-panel-and-sequence-grammar.jpg,You're a hunter-gatherer somewhere in Eurasia. Your life is basically wake up try not to die find food try not to die again sleep.
4,Panel and sequence grammar,43,02:58.63,three-step storyboard,p04-02-slide-043-panel-and-sequence-grammar.jpg,He takes them home. He raises them. He trains them.
4,Panel and sequence grammar,86,05:31.20,2x2 causal explanation,p04-03-slide-086-panel-and-sequence-grammar.jpg,And their puppies did too. Natural selection operating entirely without human intention started nudging wolf behavior in a very specific direction toward us.
4,Panel and sequence grammar,200,17:19.73,three-panel dialogue,p04-04-slide-200-panel-and-sequence-grammar.jpg,We make medical decisions for dogs that we sometimes won't make for ourselves. We train them talk to them apologize to them ask them how their day was even though we know they can't answer and somehow feel like they understand anyway.
5,"Diagrams, timelines, and maps",25,01:44.67,debate around evidence,p05-01-slide-025-diagrams-timelines-and-maps.jpg,But when exactly did this happen? Scientists have been fighting about this for decades and honestly they're still fighting.
5,"Diagrams, timelines, and maps",26,01:50.53,uncertain timeline,p05-02-slide-026-diagrams-timelines-and-maps.jpg,"Scientists have been fighting about this for decades and honestly they're still fighting. The current best estimate puts the domestication of dogs somewhere between 15,000 and 40,000 years ago."
5,"Diagrams, timelines, and maps",118,09:05.33,world map,p05-03-slide-118-diagrams-timelines-and-maps.jpg,Maybe something else entirely. And the evidence suggests this happened differently in different places.
5,"Diagrams, timelines, and maps",179,14:54.67,DNA family tree,p05-04-slide-179-diagrams-timelines-and-maps.jpg,The genetic variation locked inside the dog genome was exploited to produce a range of body types and behavioral profiles unlike anything else in the animal kingdom.
6,Visual metaphors and comedy,31,02:10.00,podium metaphor,p06-01-slide-031-visual-metaphors-and-comedy.jpg,DNA doesn't lie but it does get confusing and ancient bones don't come with timestamps. What we do know is this. Dogs were the first domesticated animal.
6,Visual metaphors and comedy,54,03:38.43,giant question mark,p06-02-slide-054-visual-metaphors-and-comedy.jpg,So if humans didn't intentionally domesticate wolves what actually happened?
6,Visual metaphors and comedy,108,07:24.00,domino-effect metaphor,p06-03-slide-108-visual-metaphors-and-comedy.jpg,He'd only selected for tameness. But somehow selecting for one behavioral trait had unlocked a cascade of physical and behavioral changes that transformed the foxes into something that looked and acted weirdly uncannily familiar.
6,Visual metaphors and comedy,191,16:34.53,bed-space visual joke,p06-04-slide-191-visual-metaphors-and-comedy.jpg,Because dogs today occupy a position in human society that no other animal comes close to. They live inside our homes. They sleep in our beds.
7,Emotion and bonding,141,11:22.73,mutual gaze,p07-01-slide-141-emotion-and-bonding.jpg,But dogs evolved to hold your gaze to look to you for information to treat human faces as sources of meaning. And when a dog looks into your eyes both your brains release oxytocin the bonding hormone the same hormone released between a mother and her infant.
7,Emotion and bonding,148,12:03.03,extreme puppy eyes,p07-02-slide-148-emotion-and-bonding.jpg,When a dog uses it it makes their face look sad soft and unbearably cute puppyish. It's the muscle responsible for the puppy dog eyes expression and it appears to have been directly selected for over thousands of years of domestication because it works on humans.
7,Emotion and bonding,162,13:23.40,affectionate hug,p07-03-slide-162-emotion-and-bonding.jpg,The very first domestic relationship in human history was one of genuine companionship not purely utility not just a working animal something that crossed the line into what we might actually recognize as love.
7,Emotion and bonding,229,19:54.40,explosive excitement,p07-04-slide-229-emotion-and-bonding.jpg,"And the next time your dog falls asleep on your feet or stares at you with that absurd yearning expression while you eat dinner or loses its mind with joy at the sound of your keys in the door just remember that is 15,000 years of mutual evolution expressing itself."
8,Dense educational boards,4,00:09.60,circular process board,p08-01-slide-004-dense-educational-boards.jpg,Your life is basically wake up try not to die find food try not to die again sleep. Every single day.
8,Dense educational boards,90,05:44.23,scientist explainer,p08-02-slide-090-dense-educational-boards.jpg,Now here's where something genuinely bizarre happens. Something that scientists didn't fully understand until a Russian geneticist named Dmitri Belyaev ran what might be the most fascinating and underrated experiment of the 20 th century.
8,Dense educational boards,109,07:40.63,trait poster,p08-03-slide-109-dense-educational-boards.jpg,But somehow selecting for one behavioral trait had unlocked a cascade of physical and behavioral changes that transformed the foxes into something that looked and acted weirdly uncannily familiar. What Belyaev had stumbled onto and what scientists are still working out the full details of today is something called domestication syndrome. The idea that certain genetic pathways for tameness and low stress response are linked on a deep biological level to a whole suite of other physical and developmental traits.
8,Dense educational boards,224,19:24.13,historical partnership path,p08-04-slide-224-dense-educational-boards.jpg,It was in the very slow and unconscious way that evolution works beginning a partnership that would outlast every empire every language every civilization that has risen and fallen in the time since.
